Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
29.3,0.665,0.261,0.0385,0.0255,0.00991
28.1,0.324,0.511,0.0986,0.0529,0.0134
54.6,0.212,0.391,0.154,0.145,0.0977
47.1,0.24,0.423,0.147,0.125,0.0651
32.1,0.365,0.472,0.0883,0.0532,0.0211
40.7,0.258,0.442,0.136,0.107,0.0567
37.5,0.279,0.459,0.123,0.0922,0.0469
49.9,0.226,0.412,0.149,0.135,0.0781
47.7,0.232,0.407,0.148,0.133,0.0789
30.1,0.309,0.506,0.107,0.0594,0.0181
62,0.176,0.355,0.162,0.174,0.134
29.5,0.314,0.501,0.0997,0.0586,0.0258
41.9,0.241,0.438,0.145,0.117,0.0591
48.2,0.424,0.31,0.0865,0.0958,0.0838
36.9,0.276,0.467,0.124,0.0902,0.0436
54.9,0.198,0.389,0.158,0.149,0.106
33.8,0.306,0.482,0.114,0.0731,0.0249
33.9,0.31,0.484,0.109,0.0686,0.028
37,0.278,0.454,0.131,0.0937,0.0435
38.4,0.29,0.46,0.123,0.0879,0.0389
34.4,0.312,0.474,0.111,0.0748,0.028
39.7,0.272,0.467,0.129,0.0893,0.043
35.9,0.292,0.471,0.119,0.0813,0.0366
35.7,0.293,0.477,0.119,0.0781,0.0331
47.6,0.232,0.413,0.147,0.131,0.0769
43.7,0.254,0.433,0.14,0.112,0.0609
30,0.316,0.492,0.106,0.0626,0.0237
59.2,0.182,0.365,0.164,0.168,0.121
36.5,0.275,0.475,0.127,0.088,0.035
38.6,0.278,0.457,0.128,0.0945,0.0419
29.2,0.321,0.504,0.0992,0.0548,0.0206
51.7,0.204,0.385,0.15,0.15,0.111
51.2,0.212,0.392,0.157,0.149,0.0892
38.7,0.33,0.456,0.104,0.0754,0.0342
35.4,0.287,0.475,0.121,0.0804,0.0364
61.7,0.175,0.351,0.164,0.178,0.132
37.8,0.281,0.466,0.123,0.0881,0.0409
62.8,0.0851,0.321,0.233,0.218,0.144
50.5,0.219,0.399,0.153,0.142,0.0863
28.9,0.335,0.494,0.0906,0.0546,0.0253
55.5,0.196,0.371,0.162,0.164,0.107
31.3,0.312,0.487,0.107,0.0664,0.0275
43.2,0.251,0.437,0.14,0.113,0.0582
36.9,0.274,0.466,0.126,0.0916,0.0416
40.3,0.256,0.437,0.137,0.114,0.057
28.8,0.636,0.269,0.0449,0.0353,0.0148
35.5,0.295,0.472,0.119,0.0815,0.0318
41,0.261,0.438,0.142,0.112,0.0473
41.7,0.253,0.433,0.138,0.114,0.0614
39.5,0.26,0.467,0.135,0.0948,0.0426
49.4,0.223,0.409,0.15,0.134,0.0838
49,0.212,0.406,0.156,0.142,0.0853
54.6,0.214,0.388,0.15,0.147,0.102
34.9,0.63,0.256,0.0501,0.0436,0.0205
39.6,0.278,0.445,0.129,0.1,0.0476
53.7,0.202,0.381,0.158,0.153,0.106
45.2,0.24,0.429,0.145,0.12,0.0674
43.7,0.234,0.434,0.145,0.12,0.0667
46,0.224,0.41,0.148,0.131,0.0878
29.1,0.326,0.502,0.0968,0.055,0.0203
48.8,0.229,0.41,0.145,0.133,0.0832
41.1,0.266,0.443,0.135,0.106,0.0511
28.6,0.56,0.332,0.0541,0.0386,0.0151
35.2,0.298,0.472,0.116,0.0778,0.0363
